City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kaitangata,NZ,37.36,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
1,Butaritari,KI,81.41,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
3,Nikolskoye,RU,54.88,overcast clouds,59.7035,30.7861,Tourist House - Sablino
4,Russell,US,83.97,clear sky,32.3502,-85.1999,Macs
5,Isangel,VU,73.13,clear sky,-19.55,169.2667,Tanna Lodge
6,Gisborne,NZ,46.36,broken clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
7,Beringovskiy,RU,43.29,light rain,63.05,179.3167,
8,Christchurch,NZ,36.91,clear sky,-43.5333,172.6333,The George
10,Asau,RO,69.28,broken clouds,46.4333,26.4,Casa Mika Ciobanus
11,Dunedin,NZ,42.8,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
12,Otane,NZ,44.01,broken clouds,-39.8833,176.6333,Ludlow Farmstay
13,Ngunguru,NZ,47.25,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
14,Anadyr,RU,39.7,light rain,64.75,177.4833,Отке17.ру — жильё для командированных
15,Hastings,GB,70.99,overcast clouds,50.8552,0.5729,Zanzibar Hotel
16,Tolaga Bay,NZ,45.01,scattered clouds,-38.3667,178.3,Tolaga Bay Motel
